apc.00;apc.10;apc.11;kras.00;kras.10;kras.11;p53.00;p53.10;p53.11
0.9944;0.0056;0;0.9936;0.0064;0;0.9956;0.0044;0
0.9892;0.0108;0;0.988;0.012;0;0.9904;0.0096;0
0.9816;0.0184;0;0.9824;0.0176;0;0.9868;0.0132;0
0.976;0.024;0;0.98;0.02;0;0.9816;0.0184;0
0.9696;0.0304;0;0.9756;0.0244;0;0.9744;0.0256;0
0.966;0.034;0;0.97;0.03;0;0.9692;0.0308;0
0.9628;0.0372;0;0.9656;0.0344;0;0.9624;0.0376;0
0.9584;0.0416;0;0.9604;0.0396;0;0.9592;0.0408;0
0.954;0.046;0;0.956;0.044;0;0.9544;0.0456;0
0.9472;0.0528;0;0.9508;0.0492;0;0.9472;0.0528;0
0.9404;0.0596;0;0.9444;0.0556;0;0.9388;0.0612;0
0.9364;0.0636;0;0.9368;0.0632;0;0.9376;0.0624;0
0.9308;0.0692;0;0.9316;0.0684;0;0.9308;0.0692;0
0.928;0.072;0;0.9244;0.0756;0;0.9252;0.0748;0
0.9236;0.0764;0;0.918;0.082;0;0.9204;0.0796;0
0.9196;0.0804;0;0.9092;0.0908;0;0.9184;0.0816;0
0.9136;0.0864;0;0.8996;0.1004;0;0.9144;0.0856;0
0.9096;0.0904;0;0.8892;0.1108;0;0.912;0.088;0
0.9056;0.0944;0;0.8784;0.1216;0;0.9088;0.0912;0
0.9016;0.0984;0;0.8672;0.1328;0;0.9052;0.0948;0
0.8968;0.1032;0;0.858;0.142;0;0.9008;0.0992;0
0.8924;0.1076;0;0.8488;0.1512;0;0.8968;0.1032;0
0.8904;0.1096;0;0.8404;0.1596;0;0.89;0.11;0
0.8856;0.1144;0;0.8324;0.1676;0;0.8836;0.1164;0
0.8836;0.1164;0;0.8216;0.1784;0;0.8796;0.1204;0
0.882;0.118;0;0.8136;0.1864;0;0.8712;0.1288;0
0.8788;0.1212;0;0.8044;0.1956;0;0.8684;0.1316;0
0.8784;0.1216;0;0.796;0.204;0;0.8628;0.1372;0
0.8752;0.1248;0;0.7864;0.2136;0;0.8572;0.1428;0
0.8704;0.1296;0;0.7748;0.2252;0;0.8488;0.1512;0
0.8664;0.1336;0;0.7632;0.2368;0;0.8432;0.1568;0
0.8616;0.1384;0;0.7516;0.2484;0;0.836;0.164;0
0.856;0.144;0;0.7384;0.2616;0;0.8312;0.1688;0
0.8472;0.1528;0;0.7272;0.2728;0;0.8284;0.1716;0
0.8404;0.1596;0;0.7184;0.2816;0;0.8196;0.1804;0
0.8332;0.1668;0;0.7064;0.2936;0;0.8116;0.1884;0
0.828;0.172;0;0.6972;0.3028;0;0.8056;0.1944;0
0.8212;0.1788;0;0.688;0.312;0;0.8004;0.1996;0
0.8148;0.1852;0;0.6752;0.3248;0;0.7964;0.2036;0
0.806;0.194;0;0.6664;0.3336;0;0.7936;0.2064;0
0.7996;0.2004;0;0.6544;0.3456;0;0.7908;0.2092;0
0.7924;0.2076;0;0.6428;0.3572;0;0.7864;0.2136;0
0.7868;0.2132;0;0.6332;0.3668;0;0.782;0.218;0
0.7856;0.2144;0;0.6244;0.3756;0;0.7776;0.2224;0
0.7824;0.2176;0;0.616;0.384;0;0.7708;0.2292;0
0.78;0.22;0;0.6032;0.3968;0;0.766;0.234;0
0.7808;0.2192;0;0.592;0.408;0;0.7624;0.2376;0
0.7744;0.2256;0;0.5844;0.4156;0;0.758;0.242;0
