apc.00;apc.10;apc.11;kras.00;kras.10;kras.11;p53.00;p53.10;p53.11
0.9952;0.0048;0;0.9952;0.0048;0;0.9952;0.0048;0
0.99;0.01;0;0.9924;0.0076;0;0.9896;0.0104;0
0.984;0.016;0;0.9888;0.0112;0;0.9848;0.0152;0
0.9784;0.0216;0;0.9848;0.0152;0;0.9788;0.0212;0
0.9724;0.0276;0;0.9812;0.0188;0;0.9756;0.0244;0
0.9672;0.0328;0;0.9744;0.0256;0;0.97;0.03;0
0.9608;0.0392;0;0.9692;0.0308;0;0.9664;0.0336;0
0.9552;0.0448;0;0.9656;0.0344;0;0.9624;0.0376;0
0.95;0.05;0;0.9612;0.0388;0;0.956;0.044;0
0.9448;0.0552;0;0.9564;0.0436;0;0.9492;0.0508;0
0.9396;0.0604;0;0.9496;0.0504;0;0.9444;0.0556;0
0.9336;0.0664;0;0.9416;0.0584;0;0.9388;0.0612;0
0.9252;0.0748;0;0.9336;0.0664;0;0.9332;0.0668;0
0.9172;0.0828;0;0.924;0.076;0;0.9272;0.0728;0
0.9124;0.0876;0;0.9172;0.0828;0;0.9224;0.0776;0
0.9052;0.0948;0;0.9064;0.0936;0;0.9164;0.0836;0
0.9016;0.0984;0;0.8972;0.1028;0;0.912;0.088;0
0.896;0.104;0;0.8844;0.1156;0;0.906;0.094;0
0.8904;0.1096;0;0.874;0.126;0;0.9008;0.0992;0
0.8824;0.1176;0;0.8628;0.1372;0;0.8956;0.1044;0
0.878;0.122;0;0.8532;0.1468;0;0.8908;0.1092;0
0.8688;0.1312;0;0.844;0.156;0;0.8864;0.1136;0
0.8592;0.1408;0;0.834;0.166;0;0.8824;0.1176;0
0.8528;0.1472;0;0.8252;0.1748;0;0.8804;0.1196;0
0.8468;0.1532;0;0.8172;0.1828;0;0.8764;0.1236;0
0.8392;0.1608;0;0.808;0.192;0;0.8736;0.1264;0
0.832;0.168;0;0.7964;0.2036;0;0.87;0.13;0
0.8296;0.1704;0;0.7852;0.2148;0;0.8628;0.1372;0
0.8248;0.1752;0;0.7736;0.2264;0;0.8592;0.1408;0
0.8188;0.1812;0;0.7612;0.2388;0;0.8588;0.1412;0
0.8176;0.1824;0;0.7504;0.2496;0;0.8552;0.1448;0
0.8128;0.1872;0;0.742;0.258;0;0.8504;0.1496;0
0.8096;0.1904;0;0.7308;0.2692;0;0.848;0.152;0
0.804;0.196;0;0.7204;0.2796;0;0.8452;0.1548;0
0.7996;0.2004;0;0.7092;0.2908;0;0.8404;0.1596;0
0.7948;0.2052;0;0.6988;0.3012;0;0.8384;0.1616;0
0.7912;0.2088;0;0.6888;0.3112;0;0.8352;0.1648;0
0.788;0.212;0;0.678;0.322;0;0.8316;0.1684;0
0.7832;0.2168;0;0.6676;0.3324;0;0.8276;0.1724;0
0.7788;0.2212;0;0.6568;0.3432;0;0.8236;0.1764;0
0.7712;0.2288;0;0.6456;0.3544;0;0.8156;0.1844;0
0.7672;0.2328;0;0.6372;0.3628;0;0.8116;0.1884;0
0.7624;0.2376;0;0.6268;0.3732;0;0.8068;0.1932;0
0.7584;0.2416;0;0.6172;0.3828;0;0.802;0.198;0
0.7532;0.2468;0;0.6084;0.3916;0;0.7988;0.2012;0
0.7504;0.2496;0;0.6012;0.3988;0;0.794;0.206;0
0.744;0.256;0;0.592;0.408;0;0.7888;0.2112;0
0.7352;0.2648;0;0.5812;0.4188;0;0.786;0.214;0
0.7312;0.2688;0;0.5732;0.4268;0;0.784;0.216;0
0.7236;0.2764;0;0.5648;0.4352;0;0.784;0.216;0
0.7196;0.2804;0;0.5556;0.4444;0;0.7796;0.2204;0
0.7168;0.2832;0;0.5448;0.4552;0;0.7756;0.2244;0
0.7132;0.2868;0;0.5372;0.4628;0;0.7684;0.2316;0
0.706;0.294;0;0.5292;0.4708;0;0.7628;0.2372;0
0.698;0.302;0;0.5204;0.4796;0;0.7552;0.2448;0
0.69;0.31;0;0.508;0.492;0;0.7492;0.2508;0
0.6856;0.3144;0;0.4996;0.5004;0;0.7484;0.2516;0
0.68;0.32;0;0.4908;0.5092;0;0.746;0.254;0
0.6724;0.3276;0;0.4812;0.5188;0;0.7448;0.2552;0
0.6668;0.3332;0;0.472;0.528;0;0.7428;0.2572;0
0.6632;0.3368;0;0.4652;0.5348;0;0.74;0.26;0
0.6556;0.3444;0;0.4544;0.5456;0;0.7376;0.2624;0
0.6532;0.3468;0;0.4448;0.5552;0;0.7316;0.2684;0
0.6496;0.3504;0;0.4364;0.5636;0;0.7252;0.2748;0
0.6452;0.3548;0;0.4284;0.5716;0;0.72;0.28;0
0.6396;0.3604;0;0.4212;0.5788;0;0.7132;0.2868;0
0.6344;0.3656;0;0.41;0.59;0;0.708;0.292;0
0.6304;0.3696;0;0.402;0.598;0;0.7012;0.2988;0
0.6264;0.3736;0;0.392;0.608;0;0.6924;0.3076;0
0.6212;0.3788;0;0.3796;0.6204;0;0.6864;0.3136;0
0.6156;0.3844;0;0.3668;0.6332;0;0.6796;0.3204;0
0.6116;0.3884;0;0.354;0.646;0;0.6732;0.3268;0
0.6056;0.3944;0;0.342;0.658;0;0.6692;0.3308;0
0.6036;0.3956;0.0008;0.334;0.666;0;0.6632;0.3368;0
0.600479425;0.398322014;0.001198562;0.324011187;0.675988813;0;0.653216141;0.346783859;0
