apc 00;apc 10;apc 11;kras 00;kras 10;kras 11;p53 00;p53 10;p53 11
0.5152;0.4848;0;0.156;0.844;0;0.5788;0.4212;0
0.5076;0.4924;0;0.1468;0.8532;0;0.5752;0.4248;0
0.5012;0.4988;0;0.138;0.862;0;0.5712;0.4288;0
0.4936;0.5064;0;0.1296;0.8704;0;0.5676;0.4324;0
0.4908;0.5092;0;0.1224;0.8776;0;0.5636;0.4364;0
0.4856;0.5144;0;0.1148;0.8852;0;0.5592;0.4408;0
0.4816;0.5184;0;0.1044;0.8956;0;0.554;0.446;0
0.4776;0.5224;0;0.0956;0.9044;0;0.5492;0.4508;0
0.4744;0.5256;0;0.0828;0.9172;0;0.5444;0.4556;0
0.4716;0.5284;0;0.07;0.93;0;0.538;0.462;0
0.4688;0.5312;0;0.0704;0.9296;0;0.5424;0.4576;0
0.4644;0.5356;0;0.0672;0.9328;0;0.5472;0.4528;0
0.4588;0.5412;0;0.0648;0.9352;0;0.5496;0.4504;0
0.4632;0.5368;0;0.0664;0.9336;0;0.5496;0.4504;0
0.456;0.544;0;0.0676;0.9324;0;0.5516;0.4484;0
0.4572;0.5428;0;0.0688;0.9312;0;0.5564;0.4436;0
0.4632;0.5368;0;0.0696;0.9304;0;0.5596;0.4404;0
0.4652;0.5348;0;0.074;0.926;0;0.5536;0.4464;0
0.4616;0.5384;0;0.074;0.926;0;0.5488;0.4512;0
0.4548;0.5452;0;0.0732;0.9268;0;0.5444;0.4556;0
0.4568;0.5432;0;0.0732;0.9268;0;0.5444;0.4556;0
0.456;0.544;0;0.072;0.928;0;0.55;0.45;0
0.4544;0.5456;0;0.0688;0.9312;0;0.5468;0.4532;0
0.4536;0.5464;0;0.066;0.934;0;0.546;0.454;0
0.4512;0.5488;0;0.068;0.932;0;0.5376;0.4624;0
0.4576;0.5424;0;0.0652;0.9348;0;0.5348;0.4652;0
0.4556;0.5444;0;0.064;0.936;0;0.5324;0.4676;0
