transit;diff;pre;ade;tum;imm
827;1623;0;0;0;0
819;1631;0;0;0;0
806;1644;0;0;0;0
805;1645;0;0;0;0
799;1651;0;0;0;0
797;1653;0;0;0;0
814;1636;0;0;0;0
823;1627;0;0;0;0
824;1626;0;0;0;0
826;1624;0;0;0;0
822;1628;0;0;0;0
821;1629;0;0;0;0
815;1635;0;0;0;0
822;1628;0;0;0;0
819;1631;0;0;0;0
818;1632;0;0;0;0
814;1636;0;0;0;0
790;1660;0;0;0;0
796;1654;0;0;0;0
787;1663;0;0;0;0
787;1663;0;0;0;0
795;1655;0;0;0;0
795;1655;0;0;0;0
801;1649;0;0;0;0
803;1647;0;0;0;0
797;1653;0;0;0;0
799;1651;0;0;0;0
793;1657;0;0;0;0
789;1661;0;0;0;0
781;1669;0;0;0;0
778;1672;0;0;0;0
772;1678;0;0;0;0
775;1675;0;0;0;0
771;1679;0;0;0;0
780;1670;0;0;0;0
783;1667;0;0;0;0
783;1667;0;0;0;0
787;1663;0;0;0;0
811;1639;0;0;0;0
821;1629;0;0;0;0
822;1628;0;0;0;0
822;1628;0;0;0;0
835;1615;0;0;0;0
835;1615;0;0;0;0
833;1617;0;0;0;0
830;1620;0;0;0;0
830;1620;0;0;0;0
841;1609;0;0;0;0
834;1616;0;0;0;0
839;1611;0;0;0;0
845;1605;0;0;0;0
871;1579;0;0;0;0
866;1584;0;0;0;0
862;1588;0;0;0;0
849;1601;0;0;0;0
842;1608;0;0;0;0
834;1616;0;0;0;0
845;1605;0;0;0;0
848;1602;0;0;0;0
831;1619;0;0;0;0
821;1629;0;0;0;0
814;1636;0;0;0;0
820;1630;0;0;0;0
817;1633;0;0;0;0
819;1631;0;0;0;0
826;1624;0;0;0;0
830;1620;0;0;0;0
831;1619;0;0;0;0
824;1626;0;0;0;0
832;1618;0;0;0;0
836;1614;0;0;0;0
831;1619;0;0;0;0
821;1629;0;0;0;0
825;1625;0;0;0;0
809;1641;0;0;0;0
816;1634;0;0;0;0
824;1626;0;0;0;0
843;1607;0;0;0;0
836;1614;0;2;0;0
843;1608;0;1;0;0
838;1612;0;1;0;0
850;1600;0;1;0;0
851;1600;0;0;0;0
845;1605;0;0;0;0
843;1607;0;0;0;0
845;1605;0;0;0;0
848;1602;0;3;0;0
839;1610;0;4;0;0
836;1614;0;4;0;0
842;1608;0;4;0;0
836;1614;0;4;0;0
841;1609;0;4;0;0
846;1605;0;3;0;0
832;1618;0;3;0;0
823;1627;0;3;0;0
820;1630;0;3;0;0
816;1634;0;3;0;0
811;1638;0;5;0;0
829;1621;0;12;0;0
827;1622;0;13;0;0
834;1616;0;14;0;0
825;1626;0;17;0;0
837;1614;0;16;0;0
831;1618;0;16;0;0
823;1627;0;22;0;0
815;1633;0;25;0;0
822;1626;0;24;0;5
824;1626;0;16;0;5
835;1614;0;19;0;5
828;1621;0;21;0;5
817;1634;0;18;0;5
829;1621;0;17;0;5
834;1616;0;22;0;5
840;1610;0;34;0;5
836;1613;0;39;0;5
837;1609;0;46;0;5
831;1614;0;46;0;9
836;1611;0;50;0;5
842;1606;0;47;0;5
843;1603;0;59;2;5
844;1603;0;61;2;5
840;1606;0;68;2;5
849;1601;0;73;2;5
848;1598;0;78;5;5
846;1598;0;86;5;5
837;1608;0;97;7;4
837;1606;0;107;6;2
856;1590;0;114;11;5
866;1576;0;124;10;10
855;1587;0;125;39;15
832;1612;0;133;39;15
823;1622;0;138;37;15
822;1623;0;157;34;15
829;1603;0;170;33;20
831;1615;0;188;33;20
835;1606;0;204;170;50
829;1607;0;199;123;50
831;1607;0;202;136;57
839;1596;0;221;111;68
849;1583;0;194;103;72
851;1585;0;159;90;70
851;1586;0;145;377;180
852;1584;0;93;186;185
857;1586;0;57;88;188
857;1585;0;27;30;170
869;1580;0;12;12;167
873;1577;0;8;7;153
856;1594;0;7;39;152
854;1595;0;2;20;144
846;1603;0;1;8;130
848;1601;0;1;3;120
854;1596;0;0;1;120
864;1586;0;0;1;10
856;1594;0;0;4;5
855;1595;0;0;4;0
851;1599;0;0;4;0
848;1602;0;0;4;0
843;1606;0;0;4;0
850;1601;0;0;4;0
849;1601;0;0;24;0
846;1604;0;0;24;0
843;1605;0;0;24;0
845;1604;0;0;24;0
847;1603;0;0;24;0
845;1604;0;0;24;0
856;1594;0;0;123;65
850;1599;0;0;5;65
837;1613;0;0;1;65
839;1611;0;0;0;65
836;1614;0;0;0;65
825;1625;0;0;0;65
825;1625;0;0;0;65
830;1620;0;0;0;65
820;1630;0;0;0;65
829;1621;0;0;0;65
827;1623;0;0;0;65
836;1614;3;0;0;0
840;1610;3;0;0;0
841;1609;3;0;0;0
851;1599;3;0;0;0
829;1620;4;0;0;0
830;1620;5;0;0;0
829;1621;5;0;0;0
821;1629;7;0;0;0
815;1635;8;0;0;0
803;1646;10;0;0;0
814;1636;8;0;2;0
806;1644;8;0;2;0
817;1632;8;0;2;0
814;1636;8;0;2;0
803;1646;8;0;2;0
807;1644;7;0;5;0
799;1651;7;0;5;0
798;1651;7;0;5;0
791;1658;7;0;16;0
797;1653;7;2;16;0
789;1661;12;2;16;0
790;1660;14;2;16;0
786;1664;12;2;36;10
774;1675;9;2;24;10
776;1672;10;1;18;10
791;1658;6;0;16;10
777;1672;5;0;15;10
791;1659;5;0;52;10
789;1661;5;0;51;10
793;1656;5;0;154;30
790;1660;3;0;106;35
775;1673;3;0;74;34
786;1662;4;0;59;32
770;1678;3;0;46;25
781;1668;2;0;34;25
790;1659;2;0;35;25
808;1642;1;0;132;40
809;1640;0;0;99;40
804;1642;0;0;76;39
818;1633;0;0;55;36
813;1634;0;0;59;17
815;1634;0;0;48;15
814;1636;0;0;57;15
816;1633;0;0;196;25
823;1624;0;0;163;30
823;1624;0;0;190;37
821;1625;0;0;157;34
830;1620;0;0;239;45
837;1608;0;0;190;45
826;1623;0;0;154;45
829;1617;0;2;350;105
823;1622;0;0;199;115
829;1615;0;0;270;153
833;1612;0;0;118;148
831;1611;0;0;121;142
846;1601;0;0;47;140
850;1597;0;0;14;131
852;1598;0;0;52;129
862;1588;0;0;41;115
843;1607;0;0;30;114
844;1606;0;0;23;109
836;1614;0;0;23;53
831;1618;0;0;67;48
835;1615;0;0;76;10
839;1611;0;2;110;15
846;1602;0;3;100;10
853;1595;0;3;95;10
852;1594;0;3;287;120
872;1572;0;2;76;120
863;1585;0;0;9;120
862;1588;0;0;1;120
867;1583;0;0;0;120
862;1588;0;0;0;120
845;1605;0;0;2;115
838;1612;0;0;1;115
830;1620;0;0;0;110
819;1631;0;0;0;110
803;1647;0;0;4;110
790;1660;0;0;18;5
789;1661;0;0;12;5
789;1661;0;0;11;5
798;1652;0;0;12;5
797;1652;0;0;25;10
792;1658;0;0;15;10
796;1654;0;0;15;10
799;1651;0;0;31;10
802;1648;0;0;60;10
804;1646;0;0;63;10
797;1651;0;0;64;10
795;1653;0;0;71;10
796;1654;0;0;66;10
799;1651;0;0;70;10
794;1655;0;0;69;10
804;1643;0;0;83;5
809;1639;0;0;154;10
812;1635;0;0;219;10
805;1641;0;0;236;15
802;1644;0;0;259;15
812;1635;0;0;394;43
821;1624;0;0;326;43
822;1622;0;0;302;40
824;1617;0;0;273;40
831;1610;0;0;302;55
856;1592;0;0;461;71
869;1572;0;0;619;106
868;1563;0;0;636;140
874;1559;0;0;520;169
886;1550;0;0;457;172
897;1539;0;0;314;170
898;1543;0;0;327;190
895;1546;0;0;161;190
886;1558;0;0;59;183
882;1568;0;0;114;202
883;1567;0;0;83;213
886;1563;0;0;16;190
879;1571;0;0;8;160
869;1581;0;0;6;129
857;1593;0;0;1;104
846;1604;0;0;0;80
837;1613;0;0;0;80
835;1615;0;0;0;50
842;1608;0;0;0;50
833;1617;0;0;0;50
825;1625;0;0;0;25
836;1614;0;0;0;0
839;1611;0;0;0;0
839;1611;0;0;0;0
842;1608;0;0;0;0
837;1613;0;0;0;0
836;1614;0;0;0;0
830;1620;0;0;0;0
829;1621;0;0;0;0
815;1635;0;0;0;0
812;1638;0;0;0;0
816;1634;0;0;0;0
809;1641;0;0;0;0
805;1645;0;0;0;0
806;1644;0;0;0;0
812;1638;0;0;0;0
826;1624;0;0;0;0
829;1621;0;0;0;0
844;1606;0;0;0;0
845;1605;0;0;0;0
839;1611;0;0;0;0
828;1622;0;0;0;0
824;1626;0;0;0;0
816;1634;0;0;0;0
818;1632;0;0;0;0
817;1633;0;0;0;0
825;1625;0;0;2;0
817;1633;0;0;2;0
828;1622;0;3;4;0
828;1622;0;3;7;0
829;1621;0;3;7;0
827;1624;0;2;9;0
818;1632;0;2;11;0
820;1631;0;1;13;0
795;1654;0;1;13;0
789;1661;0;8;27;0
791;1659;0;8;36;0
784;1666;0;9;55;5
783;1667;0;15;44;10
791;1659;0;11;38;10
795;1653;0;10;40;10
794;1656;0;10;45;10
789;1661;0;10;49;10
797;1652;0;10;58;15
804;1645;0;9;60;15
810;1639;0;11;120;20
817;1631;0;11;117;20
827;1621;0;10;111;20
832;1613;0;18;96;15
831;1616;0;26;99;10
834;1610;0;32;96;10
834;1613;0;37;83;10
832;1616;0;35;155;15
833;1614;0;43;176;14
833;1607;0;43;176;14
833;1614;0;52;189;12
827;1615;0;54;267;15
824;1619;0;52;383;45
822;1619;0;60;319;50
834;1603;0;68;285;50
834;1600;0;86;440;90
819;1619;0;80;336;103
829;1606;0;79;258;102
830;1608;0;72;453;150
828;1609;0;66;314;154
833;1603;0;71;242;148
828;1614;0;65;194;143
849;1593;0;55;189;133
833;1609;0;50;363;138
857;1580;0;47;273;130
867;1573;0;44;465;162
865;1573;0;52;339;131
855;1587;0;54;287;113
858;1582;0;58;226;110
870;1566;0;62;238;83
862;1576;0;61;192;84
871;1571;0;68;242;89
862;1575;0;64;580;199
854;1582;0;56;356;206
851;1588;0;38;330;198
868;1565;0;19;208;190
853;1591;0;12;134;170
855;1591;0;6;71;170
850;1600;0;6;41;163
843;1605;0;8;167;173
831;1614;0;5;102;175
835;1610;0;1;59;166
833;1617;0;1;35;156
840;1610;0;1;28;49
841;1609;0;1;20;40
832;1618;0;1;18;25
836;1614;0;1;108;40
836;1614;0;1;86;35
837;1610;0;1;72;35
849;1598;0;1;57;35
843;1605;0;1;51;20
846;1604;0;1;45;15
841;1609;0;1;43;15
844;1604;2;2;299;60
864;1581;2;4;204;70
854;1590;2;4;147;75
858;1588;2;2;92;73
852;1594;1;1;55;60
840;1610;1;0;30;60
833;1615;1;0;14;60
848;1602;1;0;76;65
849;1601;1;0;44;65
828;1622;1;0;24;64
829;1620;1;0;19;59
824;1626;1;0;17;19
824;1626;1;0;15;10
826;1623;1;0;14;5
819;1631;1;0;74;5
835;1615;1;0;74;5
829;1619;2;0;69;10
827;1621;2;0;60;10
820;1629;2;0;92;5
827;1622;2;0;91;5
830;1616;2;0;90;5
822;1627;1;0;441;75
845;1598;1;0;294;85
848;1593;1;2;207;95
854;1590;1;1;128;95
848;1597;1;1;71;95
846;1604;1;1;95;94
853;1595;1;1;58;90
845;1603;1;1;185;95
849;1599;1;1;124;100
846;1602;0;1;83;93
836;1612;0;1;58;80
836;1613;0;1;50;26
824;1626;0;1;54;20
834;1617;0;1;71;10
823;1625;0;1;278;40
838;1607;0;0;212;40
834;1611;0;0;196;40
834;1614;0;0;168;39
829;1617;0;0;143;35
835;1613;0;0;180;40
840;1608;0;0;138;40
828;1620;0;0;657;180
845;1593;0;0;341;200
852;1588;0;0;175;187
841;1608;0;0;58;186
836;1611;0;0;23;175
831;1619;0;0;4;175
830;1620;0;0;1;175
834;1616;0;0;0;175
830;1620;0;0;0;175
824;1626;0;0;0;165
817;1633;0;1;0;165
814;1636;0;1;0;25
814;1636;0;1;0;5
814;1636;0;1;0;5
813;1637;0;1;0;5
815;1635;0;1;0;0
818;1632;0;1;0;0
828;1622;0;1;0;0
816;1634;0;1;0;0
822;1628;0;1;0;0
823;1627;0;1;0;0
823;1627;0;1;0;0
825;1625;0;1;0;0
821;1629;0;1;0;0
820;1630;0;1;0;0
819;1631;0;1;0;0
823;1628;0;0;0;0
827;1623;0;0;0;0
816;1634;0;0;2;0
824;1626;0;0;2;0
834;1615;0;0;2;0
834;1616;0;0;2;0
828;1622;0;0;2;0
821;1629;0;0;2;0
816;1634;0;0;2;0
815;1635;0;0;2;0
817;1633;0;0;9;0
828;1622;0;0;9;0
836;1614;0;0;9;0
821;1629;0;0;9;0
827;1623;0;0;12;0
826;1624;0;0;12;0
835;1615;0;0;12;0
835;1614;0;0;12;0
842;1608;0;0;12;0
849;1601;0;0;12;0
843;1607;0;0;64;0
851;1598;0;0;59;5
848;1600;0;0;53;5
831;1616;0;0;50;5
823;1625;0;0;46;5
834;1616;0;0;42;5
833;1617;0;0;39;5
845;1604;0;0;60;5
852;1597;0;0;56;5
855;1595;0;0;53;5
864;1584;0;1;256;48
866;1582;0;2;158;58
875;1570;0;2;97;55
871;1576;0;1;53;55
881;1570;0;1;16;55
865;1585;0;0;4;55
859;1591;0;0;2;55
843;1607;0;0;0;55
829;1621;0;0;0;55
824;1626;0;0;0;55
826;1624;0;0;0;55
809;1641;0;0;0;10
789;1661;0;0;0;0
787;1663;0;0;0;0
785;1665;0;0;0;0
788;1662;0;0;0;0
781;1669;0;0;0;0
789;1661;0;0;0;0
791;1659;0;0;0;0
795;1655;0;0;0;0
798;1652;0;0;0;0
794;1656;0;0;0;0
795;1655;2;0;0;0
789;1661;2;0;0;0
794;1656;2;0;0;0
805;1645;2;0;0;0
805;1645;2;0;0;0
808;1642;2;0;0;0
815;1635;2;0;0;0
812;1638;2;0;0;0
809;1641;2;0;0;0
808;1642;3;0;0;0
802;1648;3;0;0;0
813;1637;3;0;0;0
816;1634;4;0;0;0
806;1644;4;0;0;0
805;1644;4;0;0;0
812;1638;4;0;0;0
815;1634;5;0;0;0
802;1648;5;0;0;0
816;1635;5;0;0;0
818;1632;5;0;0;0
815;1634;5;0;0;0
810;1640;5;0;0;0
808;1642;10;0;0;0
795;1655;13;0;0;0
791;1659;14;0;0;0
791;1659;14;0;0;0
792;1657;16;0;0;0
799;1648;18;3;0;0
817;1633;19;3;0;0
818;1631;19;4;0;0
823;1627;20;10;0;0
831;1619;20;10;0;0
835;1615;22;12;0;0
841;1610;24;12;0;0
843;1606;25;12;0;0
830;1617;27;13;0;0
841;1609;34;12;0;0
851;1597;36;21;0;0
845;1604;37;25;0;0
855;1592;37;26;0;0
862;1587;39;37;0;0
868;1584;40;45;0;0
870;1581;41;48;0;0
861;1593;43;53;0;0
859;1585;44;59;0;0
841;1603;41;74;0;5
846;1601;49;68;0;10
828;1618;51;78;0;10
837;1608;52;89;0;10
837;1611;51;89;0;10
838;1612;55;101;0;10
821;1622;70;104;0;10
802;1637;73;122;0;15
804;1637;69;149;0;25
800;1638;71;134;0;23
794;1643;73;144;0;22
797;1641;66;158;0;27
804;1642;61;146;0;25
810;1633;56;165;0;25
807;1635;57;188;0;35
807;1634;56;190;0;55
824;1621;56;161;0;54
822;1621;54;151;0;52
839;1605;48;153;0;47
848;1599;41;159;0;40
852;1591;37;162;0;58
859;1583;36;142;0;57
851;1591;34;135;0;50
845;1593;32;124;0;46
861;1582;30;126;0;43
855;1591;35;138;0;35
850;1592;35;151;0;20
858;1590;35;197;0;25
836;1611;32;192;0;40
843;1602;30;195;0;38
839;1596;29;199;0;41
833;1605;32;198;0;25
830;1609;33;241;0;25
833;1599;37;249;0;25
844;1594;37;274;0;25
852;1587;37;298;2;25
848;1581;35;330;2;34
859;1579;34;327;2;33
867;1577;31;363;6;37
880;1561;33;378;6;35
