TIME;N-cell;Ip-cell;Im-cell;T-cell
252;124;8.67;6.33;0.67
253;124;9;6.33;0.67
254;124;9;6.67;0.67
255;124;9;6.67;0.67
256;124;9.67;6.67;1
257;124;9.67;7;1
258;124;9.67;7.33;1
259;124;9.67;7.33;1
260;124;10;7.33;1
261;124;10;7.33;1
262;124;10.67;7.67;1
263;124;10.67;7.67;1.67
264;123;10.67;8;2
265;123;11;8;2
266;123;11;8.33;2
267;123;11.33;8.33;2
268;123;11.33;8.33;2.33
269;123;11.67;8.33;2.33
270;123;12;9.33;2.67
271;123;12.33;9.33;2.67
272;123;12.33;9.33;2.67
273;123;12.33;9.33;2.67
274;123;12.67;9.33;2.67
275;126;12;8.5;1.5
276;126;12;9;1.5
277;126;12.5;9;1.5
278;126;12.5;9.5;1.5
279;121;12;9;2
