apc.00;apc.10;apc.11;kras.00;kras.10;kras.11;p53.00;p53.10;p53.11
0.994;0.006;0;0.9932;0.0068;0;0.9936;0.0064;0
0.9884;0.0116;0;0.988;0.012;0;0.9872;0.0128;0
0.9824;0.0176;0;0.9824;0.0176;0;0.9804;0.0196;0
0.9776;0.0224;0;0.9772;0.0228;0;0.9764;0.0236;0
0.972;0.028;0;0.9704;0.0296;0;0.9696;0.0304;0
0.9668;0.0332;0;0.9628;0.0372;0;0.9616;0.0384;0
0.9612;0.0388;0;0.9584;0.0416;0;0.9536;0.0456;0.0008
0.956;0.0432;0.0008;0.948;0.052;0;0.9484;0.0504;0.0012
0.948840927;0.050359712;0;0.940047962;0.059952038;0;0.941247002;0.057154277;0.001598721
0.942868558;0.055932881;0.001198562;0.933280064;0.066719936;0;0.934079105;0.063923292;0.001997603
0.934079105;0.063923292;0.001997603;0.924091091;0.075109868;0;0.926887735;0.06911706;0.003995206
0.926147705;0.070259481;0.003592814;0.913373253;0.08502994;0.001596806;0.918962076;0.076247505;0.004790419
0.91646778;0.074383453;0.009148767;0.899761337;0.098249801;0.001988862;0.910103421;0.08353222;0.00636436
0.91009901;0.078811881;0.011089109;0.887128713;0.11049505;0.002376238;0.90019802;0.090693069;0.009108911
0.898854208;0.088107467;0.013038325;0.880679573;0.116949822;0.002370605;0.892137495;0.096404583;0.011457922
0.891646966;0.093774626;0.014578408;0.868006304;0.128841608;0.003152088;0.884948779;0.100866824;0.014184397
0.887185535;0.096305031;0.016509434;0.857704403;0.138757862;0.003537736;0.876965409;0.106525157;0.016509434
0.880626223;0.100978474;0.018395303;0.8481409;0.147162427;0.004696673;0.868493151;0.112328767;0.019178082
0.8765625;0.101953125;0.021484375;0.83515625;0.1578125;0.00703125;0.861328125;0.114453125;0.02421875
0.861710324;0.105161787;0.033127889;0.813174114;0.172958398;0.013867488;0.845146379;0.115562404;0.039291217
0.851299694;0.106651376;0.04204893;0.800076453;0.184250765;0.015672783;0.835244648;0.122324159;0.042431193
0.83855149;0.112033195;0.049415315;0.782723501;0.200301773;0.016974727;0.821576763;0.127121841;0.051301396
0.830514844;0.116873356;0.0526118;0.771890267;0.208568207;0.019541526;0.817361894;0.1315295;0.051108606
0.821815465;0.122151662;0.056032873;0.7594322;0.220022413;0.020545387;0.808367576;0.139335077;0.052297348
0.817272053;0.123795404;0.058932543;0.74017791;0.238324685;0.021497405;0.802075612;0.142698295;0.055226093
0.808440367;0.125137615;0.066422018;0.723669725;0.252110092;0.024220183;0.788990826;0.151192661;0.059816514
0.801092896;0.129326047;0.069581056;0.707832423;0.261566485;0.030601093;0.77704918;0.157741348;0.065209472
0.778131635;0.129865534;0.092002831;0.679759377;0.282024062;0.038216561;0.754069356;0.155343241;0.090587403
0.759515571;0.129411765;0.111072664;0.656401384;0.284083045;0.059515571;0.73183391;0.153287197;0.114878893
0.75554785;0.134882108;0.109570042;0.648404993;0.282246879;0.069348128;0.729195562;0.150832178;0.119972261
0.738207547;0.134770889;0.127021563;0.621630728;0.307277628;0.071091644;0.70754717;0.148247978;0.144204852
0.739527027;0.139189189;0.121283784;0.614864865;0.305743243;0.079391892;0.706081081;0.147297297;0.146621622
0.742701969;0.142566191;0.11473184;0.61167685;0.307535642;0.080787508;0.705023761;0.146978955;0.147997284
0.733177101;0.146300636;0.120522263;0.598259123;0.319049213;0.082691664;0.696350854;0.152996317;0.150652829
0.725886642;0.15246934;0.121644017;0.58369241;0.331455088;0.084852502;0.686443487;0.159429897;0.154126616
0.690015848;0.151822504;0.158161648;0.548652932;0.366402536;0.084944532;0.645324881;0.150237718;0.204437401
0.716225166;0.163245033;0.120529801;0.561258278;0.34602649;0.092715232;0.666887417;0.15;0.183112583
0.70198245;0.168020799;0.12999675;0.542086448;0.331491713;0.126421839;0.645758856;0.152421189;0.201819955
0.708484648;0.180917795;0.110597557;0.544073952;0.331132387;0.124793661;0.653020799;0.151205018;0.195774183
0.7;0.181107492;0.118892508;0.529315961;0.342996743;0.127687296;0.643322476;0.147557003;0.209120521
0.701350016;0.190977939;0.107672045;0.532762595;0.333552848;0.133684557;0.64767863;0.147843266;0.204478103
0.713139418;0.197592778;0.089267803;0.534269475;0.330324306;0.135406219;0.649281177;0.152791708;0.197927115
0.709796055;0.20661986;0.083584086;0.527582748;0.335673688;0.136743564;0.63891675;0.154797727;0.206285523
0.666561911;0.199245757;0.134192332;0.489314896;0.376492772;0.134192332;0.598994343;0.14707731;0.253928347
0.68914956;0.212121212;0.098729228;0.501466276;0.3580971;0.140436624;0.611925709;0.151515152;0.23655914
0.695379538;0.220792079;0.083828383;0.500990099;0.351815182;0.147194719;0.612211221;0.154455446;0.233333333
0.663091483;0.214826498;0.122082019;0.472555205;0.332176656;0.195268139;0.578864353;0.149211356;0.27192429
0.676546392;0.223582474;0.099871134;0.474871134;0.340206186;0.18492268;0.584729381;0.152384021;0.262886598
0.670716113;0.22730179;0.101982097;0.465792839;0.354539642;0.179667519;0.573209719;0.152493606;0.274296675
0.6677347;0.235181032;0.097084268;0.4620314;0.357577699;0.1803909;0.570009612;0.15379686;0.276193528
0.668806162;0.240051348;0.09114249;0.454428755;0.366495507;0.179075738;0.567394095;0.155006418;0.277599487
0.620782323;0.228724993;0.150492684;0.417139445;0.406091371;0.176769185;0.523439833;0.143027769;0.333532398
