transit;diff;pre;ade;tum;imm
848;1602;0;0;0;0
824;1626;0;0;0;0
817;1633;0;0;0;0
814;1636;0;0;0;0
816;1634;2;0;0;0
810;1640;2;0;0;0
807;1643;8;0;0;0
804;1646;8;0;0;0
817;1633;9;0;0;0
816;1634;7;0;2;0
812;1638;8;0;2;0
817;1633;6;0;4;0
825;1625;8;0;7;0
822;1627;11;0;7;0
810;1638;12;2;7;0
812;1638;13;2;9;0
805;1644;18;2;16;0
805;1644;22;4;18;0
812;1638;21;6;33;0
815;1635;20;10;33;0
807;1640;18;10;53;5
807;1643;18;11;47;5
801;1647;17;13;47;5
797;1652;18;14;53;5
799;1649;19;17;58;5
813;1636;20;19;72;5
808;1639;30;25;154;15
800;1643;30;23;201;40
806;1641;26;29;249;70
807;1635;18;36;190;70
804;1634;16;32;150;75
810;1634;9;33;119;70
812;1634;6;39;116;75
819;1627;6;37;91;75
817;1627;6;40;183;100
823;1619;5;26;146;110
825;1622;4;33;211;116
810;1634;4;26;174;117
816;1631;4;18;162;100
804;1638;9;24;150;75
803;1643;7;29;148;80
784;1659;5;26;133;75
786;1660;4;23;215;75
790;1657;6;27;214;78
776;1668;4;28;372;106
785;1653;5;33;301;84
769;1671;6;30;268;71
771;1666;4;31;270;64
765;1672;4;29;257;64
757;1683;3;42;412;64
757;1680;3;48;490;104
750;1682;2;46;449;125
760;1675;2;38;765;222
758;1671;2;30;559;227
761;1670;2;29;500;225
751;1680;1;28;436;215
755;1674;1;22;396;235
745;1693;1;20;288;229
735;1700;0;27;312;239
731;1703;0;27;245;229
732;1711;2;22;452;273
737;1693;1;28;470;244
745;1691;1;26;342;215
738;1696;1;32;361;139
746;1692;0;27;343;129
738;1693;0;23;303;121
730;1712;0;23;406;121
736;1700;0;25;347;107
728;1709;0;28;713;239
739;1693;0;30;488;240
738;1695;0;25;569;277
735;1698;0;24;447;236
737;1699;0;13;325;219
725;1714;0;8;310;218
724;1715;0;7;327;235
721;1719;2;6;371;250
726;1714;5;4;471;288
729;1704;0;6;532;281
730;1707;0;4;443;268
725;1708;1;7;384;159
714;1724;1;7;358;149
719;1719;1;14;306;113
716;1723;1;17;532;150
718;1707;3;17;423;154
715;1714;3;15;923;234
724;1704;1;13;798;230
724;1697;0;12;644;215
722;1704;0;8;630;215
717;1712;0;8;533;207
719;1714;0;12;626;227
725;1710;0;12;592;243
721;1712;0;8;916;323
725;1702;0;8;1094;370
721;1701;0;7;852;349
724;1703;0;9;705;328
720;1712;0;11;563;280
712;1716;2;8;643;266
720;1713;0;5;541;273
707;1722;0;7;1137;358
723;1699;0;2;1059;393
725;1697;0;3;1195;410
722;1698;0;5;941;391
725;1697;0;4;669;331
726;1699;0;4;765;331
733;1696;0;2;557;310
731;1706;0;0;1227;475
729;1694;0;0;1199;578
732;1686;0;1;742;552
718;1703;0;3;560;533
726;1702;0;4;314;444
724;1713;0;6;385;421
721;1716;0;3;239;389
721;1724;0;4;312;379
729;1714;0;4;237;377
722;1719;0;6;188;332
718;1727;0;4;179;312
724;1719;0;6;211;168
720;1720;4;6;298;75
719;1723;5;7;405;64
721;1718;6;8;597;65
724;1711;4;10;871;105
727;1702;4;9;783;99
721;1703;5;7;785;130
717;1711;5;8;785;145
712;1715;5;6;1493;395
715;1701;4;5;1392;640
715;1683;3;7;1107;713
712;1694;1;3;727;785
719;1703;0;2;214;781
717;1720;0;1;74;767
711;1734;0;0;88;774
712;1735;0;0;6;742
701;1748;1;0;3;726
703;1747;0;2;2;695
709;1741;0;0;1;670
709;1741;0;0;2;420
716;1734;1;2;5;175
719;1731;1;7;11;100
716;1733;5;7;35;25
716;1731;9;10;36;25
721;1728;11;11;43;20
729;1720;13;11;56;0
730;1716;15;18;63;0
729;1718;17;23;79;0
735;1713;20;26;77;5
732;1715;26;25;174;25
734;1709;31;24;198;30
732;1709;31;29;300;40
721;1716;30;30;276;45
722;1717;32;31;282;45
732;1707;28;28;288;50
743;1698;27;30;284;50
731;1705;23;30;605;150
735;1695;16;27;612;245
745;1690;9;16;506;271
735;1702;4;13;363;269
734;1701;3;7;276;254
739;1701;1;6;164;247
741;1700;0;4;110;242
747;1696;1;2;226;265
747;1699;0;1;108;264
736;1709;0;0;60;249
730;1717;0;2;74;232
736;1710;0;6;61;157
737;1711;0;5;58;70
729;1720;0;7;136;55
730;1717;0;11;149;50
731;1715;0;9;150;45
738;1709;0;13;163;44
737;1709;3;11;180;49
735;1710;6;14;221;50
739;1703;5;14;454;130
725;1711;5;11;296;150
731;1711;3;9;323;175
735;1704;3;11;268;168
734;1703;2;16;194;168
735;1706;2;10;151;160
738;1705;0;12;403;255
730;1706;0;10;183;260
732;1707;0;8;88;260
741;1707;0;5;88;248
727;1722;0;3;51;227
729;1720;3;0;36;152
729;1719;3;2;62;132
726;1720;4;3;54;110
733;1716;4;5;85;110
725;1718;4;10;100;110
725;1722;4;15;129;104
723;1721;3;15;137;10
730;1720;4;14;276;15
740;1704;4;17;272;10
737;1708;5;22;289;10
728;1707;5;25;351;15
733;1708;4;26;612;65
743;1690;6;26;634;85
734;1696;4;26;1135;260
723;1692;0;23;675;300
724;1696;0;17;453;300
724;1701;0;12;449;312
732;1698;0;8;409;351
733;1703;0;13;230;365
736;1707;0;9;606;440
734;1699;0;8;370;436
731;1710;0;4;171;423
721;1717;0;3;109;354
728;1722;0;2;65;328
730;1718;0;2;33;189
718;1732;0;6;78;165
730;1719;0;6;69;163
726;1723;0;4;47;153
717;1731;0;4;53;113
728;1722;0;4;50;92
721;1726;0;9;86;20
728;1720;0;12;172;35
730;1716;3;14;136;35
732;1712;2;24;170;40
728;1717;2;29;201;45
732;1712;3;29;192;44
730;1712;6;29;178;35
731;1713;5;28;565;180
727;1713;5;25;335;180
732;1702;3;25;226;185
715;1725;9;20;313;201
722;1718;5;11;212;225
725;1716;4;6;106;213
730;1718;5;5;224;217
735;1709;6;6;244;214
734;1705;5;13;198;210
724;1718;8;13;219;209
735;1709;9;13;214;197
734;1703;8;12;213;83
731;1712;6;12;411;131
730;1709;4;12;281;137
737;1706;2;11;390;151
739;1701;2;12;382;144
742;1702;3;11;342;140
741;1696;2;10;320;140
732;1704;2;15;634;253
739;1700;3;11;356;267
737;1700;3;9;319;290
739;1702;3;8;492;318
736;1702;1;3;302;301
737;1707;0;1;185;260
731;1716;0;0;375;271
733;1705;0;0;230;252
734;1709;1;0;237;239
731;1707;0;2;305;233
731;1710;0;3;273;226
734;1705;0;2;218;136
719;1723;0;2;407;162
724;1714;1;3;355;141
722;1721;3;3;358;137
721;1718;3;7;490;180
728;1709;3;8;311;184
732;1704;2;9;268;175
729;1711;3;8;505;233
732;1702;2;5;321;236
727;1708;3;8;241;227
732;1710;4;8;355;227
735;1700;2;14;220;218
735;1706;2;11;239;190
740;1704;2;14;451;204
744;1695;2;20;337;189
735;1701;3;17;307;149
736;1701;7;18;562;196
742;1685;7;17;570;243
744;1688;4;11;395;201
742;1695;4;10;618;264
740;1691;3;10;423;272
737;1691;7;6;322;260
746;1696;8;6;739;362
743;1688;5;4;391;368
747;1692;2;2;193;352
744;1697;1;1;315;334
746;1689;0;2;161;315
745;1701;0;1;265;265
741;1702;0;7;292;218
752;1690;0;8;215;206
728;1716;0;11;164;152
727;1715;0;11;308;165
728;1712;2;10;541;195
740;1700;1;9;445;125
739;1699;0;6;587;150
730;1703;0;3;460;148
735;1693;0;2;363;150
731;1706;0;4;1356;423
739;1677;2;2;678;472
728;1695;2;1;304;480
735;1697;1;1;228;494
729;1713;0;2;66;487
728;1720;0;2;97;472
735;1713;1;0;48;443
728;1720;2;0;9;426
738;1711;2;0;4;395
734;1717;0;0;6;394
720;1729;0;2;10;385
725;1724;0;9;18;110
730;1719;6;10;45;55
731;1719;10;9;70;45
724;1724;12;9;79;20
719;1732;12;15;124;20
713;1730;14;14;123;10
719;1729;14;17;137;10
716;1732;14;22;135;10
710;1732;15;32;164;10
708;1737;14;29;379;55
714;1723;15;35;345;70
715;1723;19;25;397;105
718;1717;14;26;318;110
705;1725;10;27;335;120
709;1722;14;27;726;258
715;1709;10;27;444;265
727;1707;7;15;286;264
719;1716;3;8;186;260
721;1724;1;7;110;249
720;1729;0;10;358;319
731;1709;0;7;176;293
725;1715;0;4;84;282
727;1722;1;2;36;255
729;1721;1;4;22;241
727;1719;1;8;87;225
724;1723;1;5;102;99
719;1727;3;5;89;90
714;1730;5;4;92;90
724;1724;6;13;86;94
724;1726;3;11;270;144
729;1715;3;12;178;70
715;1728;4;12;171;64
720;1726;6;12;166;60
716;1731;10;13;159;65
720;1719;6;13;582;220
719;1704;4;6;336;225
728;1707;4;6;212;230
721;1717;3;6;122;228
728;1716;3;5;112;230
727;1715;2;7;295;260
728;1707;1;9;194;220
728;1712;0;6;130;220
730;1711;0;3;90;215
